storm_event_id,storm_date,storm_name,storm_event_type,storm_issues,storm_location,storm_duration
SW1767,11/1/2019 12:00 AM,High Winds Event,Thunderstorms,High Winds,"Queens, Staten Island, Brooklyn",1 day
SW1768,10/22/2018 09:00 AM,Office of the Mayor Power Outage,Thunderstorms,Flash Flooding,Queens,"4 days, 8 hours"
SW1976,11/29/2016 12:00 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,"Queens, Staten Island, Brooklyn, Bronx, Manhattan",1 day
SW2574,12/20/2018 12:00 AM,Flash Flood Event,Thunderstorms,Flash Flooding,"Manhattan, Bronx, Brooklyn, Staten Island, Queens",1 day
SW2585,12/18/2019 04:00 PM,December 2019 Squall,Winter Weather,High Winds,"Manhattan, Bronx, Brooklyn, Staten Island, Queens",20 minutes
SW2586,1/8/2020 02:00 PM,High Wind event,Winter Weather,High Winds,Queens,1 day
SW2587,1/16/2020 12:00 PM,High Wind event,Winter Weather,High Winds,"Queens, Brooklyn",1 day
SW2588,1/25/2020 12:00 PM,High Wind event,Winter Weather,High Winds,Brooklyn,1 day
SW2589,2/7/2020 12:00 PM,High Wind event,Winter Weather,High Winds,Queens,1 day
SW2590,2/27/2020 10:00 AM,High Wind event,Winter Weather,High Winds,Queens,1 day
SW2591,4/9/2020 12:54 PM,High Wind event,Winter Weather,"High Winds, Coastal Flooding",Staten Island,1 day
SW2592,4/13/2020 09:00 AM,High Wind event,Winter Weather,"Coastal Flooding, High Winds","Staten Island, Queens, Brooklyn, Bronx, Manhattan",1 day
SW2593,4/21/2020 01:35 PM,High Wind event,Winter Weather,High Winds,Bronx,1 day
SW2594,4/30/2020 12:00 PM,High Wind event,Winter Weather,High Winds,Queens,1 day
SW2628,8/27/2020 12:00 AM,Severe Weather,Thunderstorms,High Winds,"Queens, Staten Island, Manhattan, Bronx, Brooklyn",0 milliseconds
SW2629,12/16/2020 12:00 AM,Winter Storm Gail,Winter Weather,"High Winds, Heavy Snow, Coastal Flooding","Brooklyn, Bronx, Manhattan, Staten Island, Queens",1 day
SW2630,1/31/2021 12:00 AM,Winter Storm Orlena ,Winter Weather,Heavy Snow,"Queens, Staten Island, Manhattan, Bronx, Brooklyn",2 days
SW2631,2/7/2021 12:00 AM,Winter Storm Quade,Winter Weather,Heavy Snow,"Brooklyn, Bronx, Manhattan, Staten Island, Queens",0 milliseconds
SW2632,2/18/2021 12:00 AM,Winter Storm Viola,Winter Weather,Heavy Snow,"Queens, Staten Island, Manhattan, Bronx, Brooklyn",1 day
SW2684,12/13/2018 12:00 AM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,Queens,4 days
SW2685,6/4/2021 04:00 PM,"Heavy Rain, Flash/Inland Flooding Event",Thunderstorms,Flash Flooding,"Queens, Staten Island, Brooklyn, Bronx, Manhattan",1 hour
SW2922,6/6/2020 02:10 PM,High Wind Event,Thunderstorms,High Winds,Queens,0 milliseconds
SW2923,6/29/2020 05:25 PM,"High Wind, Hail Event",Thunderstorms,"High Winds, Large Hail","Queens, Manhattan, Brooklyn",5 hours
SW2924,7/22/2020 06:14 PM,High Wind Event,Thunderstorms,High Winds,"Brooklyn, Queens",34 minutes
SW2925,11/2/2020 12:00 PM,High Wind Event,Winter Weather,High Winds,Manhattan,1 hour
SW2926,11/15/2020 08:35 PM,High Wind Event,Winter Weather,High Winds,"Manhattan, Queens",15 minutes
SW2927,11/30/2020 12:00 PM,High Wind Event,Winter Weather,High Winds,Queens,2 hours
SW2928,12/25/2020 12:00 AM,High Wind Event,Winter Weather,High Winds,"Queens, Brooklyn, Bronx",4 hours
SW2929,1/29/2021 05:00 AM,High Wind Event,Winter Weather,High Winds,"Manhattan, Queens",1 hour
SW2930,3/1/2021 11:30 AM,High Wind Event,Winter Weather,High Winds,Queens,13 hours
SW2931,3/13/2021 01:00 AM,High Wind Event,Winter Weather,High Winds,Queens,"1 day, 14 hours"
SW2932,3/28/2021 06:48 PM,High Wind Event,"Winter Weather, Thunderstorms",High Winds,Staten Island,0 milliseconds
SW2933,4/21/2021 01:40 PM,"High Wind, Hail Event",Thunderstorms,"High Winds, Large Hail","Queens, Brooklyn",0 milliseconds
SW2934,4/30/2021 03:00 PM,High Wind Event,Thunderstorms,High Winds,"Manhattan, Queens",1 hour
SW2935,7/8/2021 12:00 AM,"Heavy Rain, Flash Flood Event",Thunderstorms,Flash Flooding,"Queens, Staten Island, Manhattan, Brooklyn, Bronx",0 milliseconds
SW2626,8/3/2020 08:00 PM,Tropical Storm Isaias,Tropical Cyclone,"Flash Flooding, High Winds","Bronx, Brooklyn, Manhattan, Staten Island, Queens",18 hours
